parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1017180030,1,1718,30,5118,2026,3,2020,NA,NA,0,421A 15 YR CAP,12,15,2034,7,No,No
1017180129,1,1718,129,5118,2021,3,2020,NA,NA,0,421A 15 YR CAP,12,15,2034,7,No,No
1017180130,1,1718,130,5118,2021,3,2020,NA,NA,0,421A 15 YR CAP,12,15,2034,7,No,No
1017220033,1,1722,33,5114,2026,3,2008,NA,NA,103970,421A 25 YR NO CAP,22,25,2032,19,No,No
1017230153,1,1723,153,5114,2026,3,2017,NA,NA,0,421A 25 YR NO CAP,22,25,2041,10,No,No
1017240014,1,1724,14,5114,2026,3,2015,NA,NA,0,421A 25 YR NO CAP,22,25,2039,12,No,No
1017240105,1,1724,105,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1017250057,1,1725,57,5121,2026,3,2022,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2056,5,Yes,NA
1017260132,1,1726,132,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1017280070,1,1728,70,5121,2026,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1017290043,1,1729,43,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1017360027,1,1736,27,5114,2026,3,2011,NA,NA,104009,421A 25 YR NO CAP,22,25,2035,16,No,No
1017450134,1,1745,134,5114,2026,3,2005,NA,NA,0,421A 25 YR NO CAP,22,25,2029,22,No,Yes
1017460021,1,1746,21,5114,2026,3,2004,NA,NA,103697,421A 25 YR NO CAP,22,25,2028,23,No,Yes
1017460033,1,1746,33,5114,2026,3,2004,NA,NA,0,421A 25 YR NO CAP,22,25,2028,23,No,Yes
1017480001,1,1748,1,5114,2022,3,1997,NA,NA,102897,421A 25 YR NO CAP,22,25,2021,Expired,No,NA
1017480035,1,1748,35,5114,2025,3,2000,NA,NA,0,421A 25 YR NO CAP,22,25,2024,Expired,No,NA
1017500028,1,1750,28,5114,2026,3,2019,NA,NA,0,421A 25 YR NO CAP,22,25,2043,8,No,No
1017530126,1,1753,126,5114,2026,3,2009,NA,NA,0,421A 25 YR NO CAP,22,25,2033,18,No,No
1017540025,1,1754,25,5114,2026,3,2010,NA,NA,0,421A 25 YR NO CAP,22,25,2034,17,No,No
1017560048,1,1756,48,5114,2026,3,2018,NA,NA,0,421A 25 YR NO CAP,22,25,2042,9,No,No
1017680033,1,1768,33,5114,2026,3,2011,NA,NA,0,421A 25 YR NO CAP,22,25,2035,16,No,No
1017710017,1,1771,17,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1017840002,1,1784,2,5114,2025,3,2019,NA,NA,0,421A 25 YR NO CAP,22,25,2043,8,No,No
